NAME_1,NAME_2,Province,LGU,Class,Overall_Score,Population,Revenue,Provincial_Score,,Economic,Government,Infrastructure,Resiliency,Innovation
OccidentalMindoro,AbradeIlog,Occidental Mindoro,Abra de Ilog,Second Class Municipality,28.5006,"31,306","305,923,432.39",3.9644,,2.597,8.9145,2.3202,10.9406,3.7217
OccidentalMindoro,Calintaan,Occidental Mindoro,Calintaan,Third Class Municipality,28.8515,"29,826","16,943,529.41",1.0271,,3.5538,6.2256,2.6482,11.3723,5.0516
OccidentalMindoro,Looc,Occidental Mindoro,Looc,Fifth Class Municipality,32.6385,"7,802","1,108,136.72",0.2676,,3.5453,8.8499,4.5242,11.4371,4.282
OccidentalMindoro,Lubang,Occidental Mindoro,Lubang,Fourth Class Municipality,24.7033,"17,437","9,527,400.24",0.5114,,3.1541,6.6711,2.1609,11.3397,1.3775
OccidentalMindoro,Magsaysay,Occidental Mindoro,Magsaysay,Third Class Municipality,29.9612,"36,016","9,643,656.44",1.1745,,3.3308,8.1592,2.5934,11.3805,4.4973
OccidentalMindoro,Mamburao,Occidental Mindoro,Mamburao,Second Class Municipality,31.2934,"42,975","244,898,157.89",4.0431,,3.0564,8.9443,2.8022,11.3271,5.1517
OccidentalMindoro,Paluan,Occidental Mindoro,Paluan,Third Class Municipality,21.7302,"18,566","8,872,283.56",0.4672,,2.8824,4.7762,1.9563,11.4051,0.7102
OccidentalMindoro,Rizal,Occidental Mindoro,Rizal,Third Class Municipality,30.5871,"40,429","12,549,013.00",1.3642,,4.4364,7.973,2.683,10.6789,4.8158
OccidentalMindoro,Sablayan,Occidental Mindoro,Sablayan,First Class Municipality,33.3905,"83,169","45,724,247.91",3.2956,,3.1805,9.439,2.4742,12.5358,5.7594
OccidentalMindoro,SanJose,Occidental Mindoro,San Jose,First Class Municipality,36.4073,"153,267","750,096,845.31",15.1891,,4.3893,9.4385,3.9785,11.9663,6.5898
OccidentalMindoro,SantaCruz,Occidental Mindoro,Santa Cruz,Fifth Class Municipality,28.1935,"42,417","10,692,736.51",1.2941,,2.4671,8.33,2.4174,11.2816,3.6967
